Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
100-Og,4.0,"$100 og is a 50/50 hybrid strain that packs a strong punch. the name supposedly refers to both its strength and high price when it first started showing up in hollywood. as a plant, $100 og tends to produce large dark green buds with few stems. users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",Creative,Energetic,Tingly,Euphoric,Relaxed,Earthy,Sweet,Citrus,0,og hybrid strain packs strong punch name supposedly refers strength high price first started showing hollywood plant og tends produce large dark green buds stems users report strong body effect indica pain relief alert cerebral feeling thanks sativa side
98-White-Widow,4.7,"the ‘98 aloha white widow is an especially potent cut of white widow that has grown in renown alongside hawaiian legends like maui wowie and kona gold. this white widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. this one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank.  ",Relaxed,Aroused,Creative,Happy,Energetic,Flowery,Violet,Diesel,0,aloha white widow especially potent cut white widow grown renown alongside hawaiian legends like maui wowie kona gold white widow phenotype reeks diesel skunk rich earthy taste intermittent notes hash buds coated trichomes giving dark foliage lustrous glint go along odor uplifts mind euphoria materializes body airy relaxation aloha white widow available pua mana hawaiian pakalōlō seed bank
1024,4.4,"1024 is a sativa-dominant hybrid bred in spain by medical seeds co. the breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a thc powerhouse with a sweet and spicy bouquet. subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. one specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",Uplifted,Happy,Relaxed,Energetic,Creative,Spicy/Herbal,Sage,Woody,1,hybrid bred spain medical seeds breeders claim guard secret genetics due security reasons regardless genetic heritage thc powerhouse sweet spicy bouquet subtle fruit flavors mix herbal musk produce uplifting sativa effects one specific phenotype noted pungent odor fills room similar burning incense
13-Dawgs,4.2,"13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech. the two potent strains mix to create a balance between indica and sativa effects. 13 dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. the effects of 13 dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",Tingly,Creative,Hungry,Relaxed,Uplifted,Apricot,Citrus,Grapefruit,0,dawgs hybrid chemdawg genetics bred canadian lp delta biotech two potent strains mix create balance indica sativa effects dawgs sweet earthy musk brings blend woody citrus flavors effects dawgs induce happy relaxed body buzz creative focused mind counters depression stimulates appetite
24K-Gold,4.6,"also known as kosher tangie, 24k gold is a 60% indica-dominant hybrid that combines the legendary la strain kosher kush with champion sativa tangie to create something quite unique. growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. most phenotypes will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush, and will offer a strong citrus flavor when smoked or vaped. thc levels range from 18% to 24%; definitely not for novice users! ",Happy,Relaxed,Euphoric,Uplifted,Talkative,Citrus,Earthy,Orange,0,also known kosher tangie gold hybrid combines legendary la strain kosher kush champion sativa tangie create something quite unique growing tall vegetative cycle stretchy flower one need experienced hand grown indoors phenotypes exhibit sweet orange aroma tangie along dark coloration kosher kush offer strong citrus flavor smoked vaped thc levels range definitely novice users
3-Bears-Og,0.0,"3 bears og by mephisto genetics is an autoflowering cross of bear og, karma’s og cut, and triangle kush. this indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. mephisto genetics describes 3 bears og as a cornerstone to their artisanal collection, blending the best attributes of the fabled og kush with a compact, controllable growth structure. the 3 bears og has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",None,,,,,None,,,2,bears og mephisto genetics autoflowering cross bear og karma og cut triangle kush strain generates pungent flavorful buds smaller manageable plant size mephisto genetics describes bears og cornerstone artisanal collection blending best attributes fabled og kush compact controllable growth structure bears og approximate growth cycle offers effects stimulate appetite leading body toward sleep
3-Kings,4.4,"the 3 kings marijuana strain, a holy trinity of headband, sour diesel, and og kush, is a sativa-dominant hybrid and genetic masterpiece. sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 kings’ potency. medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",Relaxed,Euphoric,Happy,Uplifted,Hungry,Earthy,Sweet,Pungent,0,kings marijuana strain holy trinity headband sour diesel og kush hybrid genetic masterpiece sour tanginess reek sage green buds frosty coat gives fair warning kings potency medical patients appreciate versatility strain medicinal effects relieves pain stress nausea without heavy sedation
303-Og,4.2,"the indica-dominant 303 og is a colorado strain bred by crossing pre-98 bubba kush and chemdawg. its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. the happy euphoria induced by 303 og may help patients treating depression, anxiety, and stress disorders.",Relaxed,Happy,Euphoric,Uplifted,Giggly,Citrus,Pungent,Earthy,2,og colorado strain bred crossing bubba kush chemdawg parent strains pass complex flavor profile coffee spice diesel undertones buzz described social creative dreamy experience perfect letting steam end work day happy euphoria induced og may help patients treating depression anxiety stress disorders
3D-Cbd,4.6,"3d cbd from snoop dogg’s branded line of cannabis strains was crafted with patients in mind. with a thc:cbd ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. consumers susceptible to thc-induced anxiety may also appreciate the sobering, relaxing balance cbd has to offer.",Uplifted,Focused,Happy,Talkative,Relaxed,Earthy,Woody,Flowery,1,cbd snoop dogg branded line cannabis strains crafted patients mind thc cbd ratio sativa preferred treating pain inflammation muscle tension consumers susceptible anxiety may also appreciate sobering relaxing balance cbd offer
3X-Crazy,4.4,"also known as optimus prime, the indica-dominant 3x crazy is a three-way cross between og kush, bubba kush, and granddaddy purple. its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its bubba kush parent. this indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. the relaxing effects induced by 3x crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",Relaxed,Tingly,Happy,Euphoric,Uplifted,Earthy,Grape,Sweet,2,also known optimus prime crazy cross og kush bubba kush granddaddy purple aroma comprised sweet grape spicy pepper earthy notes passed bubba kush parent indica leave sedated soothing effects brief phase cerebral psychoactivity relaxing effects induced crazy used treat variety severe symptoms include pain spasms tension insomnia
